ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
,,,,,,,,,,,,,
530,260,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
518,263,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
506,266,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
494,269,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
482,272,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
470,275,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
458,278,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
446,281,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
434,284,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
422,287,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
410,290,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
398,293,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
386,296,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
374,299,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
362,302,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
350,305,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
338,308,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
326,311,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
314,314,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
302,317,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
290,320,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
278,323,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
266,326,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
254,329,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
242,332,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
230,335,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
218,338,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
206,341,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,344,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,347,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,350,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,353,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,356,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,359,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,362,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,365,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,368,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,365,-12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,362,-12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,359,-12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,356,-12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
38,353,-12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,350,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,347,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,344,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,341,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,338,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,335,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,332,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,329,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,326,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,323,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,320,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,317,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,314,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
206,311,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
218,308,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
230,305,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
242,302,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
254,299,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
266,296,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
278,293,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
290,290,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
302,287,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
314,284,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
326,281,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
338,278,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
350,275,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
362,272,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
374,269,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
386,266,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
398,263,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
410,260,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
422,257,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
434,254,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
446,251,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
458,248,12,-3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
470,245,12,-3,-1,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
482,242,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
494,239,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
506,236,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
518,233,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
530,230,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
542,227,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
554,224,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
566,221,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
578,218,12,-3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
590,215,12,-3,-1,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
602,212,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
614,209,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
626,206,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
638,203,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
650,200,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
662,197,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
674,194,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
686,191,12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
698,188,12,-3,-1,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
710,185,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
722,182,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
734,179,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
746,176,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
758,173,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
770,170,12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
758,167,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
746,164,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
734,161,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
722,158,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
710,155,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
698,152,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
686,149,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
674,146,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
662,143,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
650,140,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
638,137,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
626,134,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
614,131,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
602,128,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
590,125,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
578,122,-12,-3,0,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
566,119,-12,-3,1,140,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
554,116,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
542,113,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
530,110,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
518,107,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
506,104,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
494,101,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
482,98,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
470,95,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
458,92,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
446,89,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
434,86,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
422,83,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
410,80,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
398,77,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
386,74,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
374,71,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
362,68,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
350,65,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
338,62,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
326,59,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
314,56,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
302,53,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
290,50,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
278,47,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
266,44,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
254,41,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
242,38,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
230,35,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
218,32,-12,-3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
206,35,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,38,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,41,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,44,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,47,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,50,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,53,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,56,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,59,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,62,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,65,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,68,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,71,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,74,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
38,77,-12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,80,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,83,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,86,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,89,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,92,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,95,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,98,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,101,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,104,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,107,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,110,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,113,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,116,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
206,119,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
218,122,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
230,125,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
242,128,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
254,131,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
266,134,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
278,137,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
290,140,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
302,143,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
314,146,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
326,149,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
338,152,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
350,155,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
362,158,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
374,161,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
386,164,12,3,0,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
398,167,12,3,1,160,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
410,170,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
422,173,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
434,176,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
446,179,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
458,182,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
470,185,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
482,188,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
494,191,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
506,194,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
518,197,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
530,200,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
542,203,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
554,206,12,3,0,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
566,209,12,3,1,180,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
578,212,12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
590,215,12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
602,218,12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
614,221,12,3,1,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
626,224,12,3,0,220,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
638,227,12,3,0,220,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
650,230,12,3,0,220,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
662,233,12,3,1,220,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
674,236,12,3,0,240,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
686,239,12,3,0,240,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
698,242,12,3,0,240,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
710,245,12,3,1,240,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
722,248,12,3,0,260,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
734,251,12,3,0,260,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
746,254,12,3,1,260,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
758,257,12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
770,260,12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
758,263,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
746,266,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
734,269,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
722,272,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
710,275,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
698,278,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
686,281,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
674,284,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
662,287,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
650,290,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
638,293,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
626,296,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
614,299,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
602,302,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
590,305,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
578,308,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
566,311,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
554,314,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
542,317,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
530,320,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
518,323,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
506,326,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
494,329,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
482,332,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
470,335,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
458,338,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
446,341,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
434,344,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
422,347,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
410,350,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
398,353,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
386,356,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
374,359,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
362,362,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
350,365,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
338,368,-12,3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
326,365,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
314,362,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
302,359,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
290,356,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
278,353,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
266,350,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
254,347,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
242,344,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
230,341,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
218,338,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
206,335,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,332,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,329,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,326,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,323,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,320,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,317,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,314,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,311,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,308,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,305,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,302,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,299,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,296,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
38,293,-12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
50,290,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
62,287,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
74,284,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
86,281,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
98,278,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
110,275,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
122,272,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
134,269,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
146,266,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
158,263,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
170,260,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
182,257,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
194,254,12,-3,0,280,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
